x1,x2,x3,x4,y
0,0,0,0,11.53
0.1,0,0.1,0,0
5.27,0,5.25,0.02,0.1
6.81,0,6.79,0.02,12.71
6.99,0,6.97,0.02,6.81
7.16,0,7.13,0.03,12.55
7.46,0.07,7.36,0.03,6.99
9.85,0.02,9.77,0.06,7.46
11.53,0,11.49,0.04,13.61
12.55,0,12.49,0.06,15.18
12.71,0,12.68,0.03,7.16
13.61,0.75,12.76,0.1,19.11
14.53,0.01,14.47,0.05,18.96
14.57,0,14.51,0.06,15.31
14.76,0,14.72,0.04,18.6
15.01,0,14.94,0.07,18.44
15.18,0,15.16,0.02,24.23
15.24,0,15.19,0.05,5.27
15.31,0,15.29,0.02,14.76
16.37,0,16.29,0.08,17.7
16.55,0,16.44,0.11,17.25
16.67,0.01,16.59,0.07,15.01
16.75,0,16.6,0.15,28.71
17.25,0,17.25,0,19.06
17.28,0,17.22,0.06,14.53
17.7,0.06,17.54,0.1,16.67
17.91,0.06,17.81,0.04,9.85
18.01,0.18,17.71,0.12,16.55
18.44,0.02,18.34,0.08,22.64
18.6,0,18.55,0.05,17.28
18.62,0.03,18.47,0.12,22.31
18.86,0.04,18.64,0.18,22.41
18.96,0.01,18.88,0.07,16.37
19.06,0,18.95,0.11,18.86
19.11,0,18.96,0.15,25.49
22.19,0,22.05,0.14,39.84
22.31,0,22.17,0.14,29
22.41,0,22.34,0.07,15.24
22.64,0,22.59,0.05,22.85
22.85,0,22.76,0.09,29.88
22.98,0,22.92,0.06,26.15
23.19,0,23.05,0.14,24.13
24.07,0.08,23.77,0.22,27.42
24.13,0.35,23.59,0.19,30.2
24.23,0,24.19,0.04,24.54
24.54,0,24.47,0.07,18.62
25.37,0,25.25,0.12,27.44
25.49,0,25.3,0.19,23.19
25.7,0.03,25.51,0.16,43.2
26.15,0.1,25.9,0.15,22.19
26.98,0.01,26.89,0.08,30.87
27.12,0,26.98,0.14,25.37
27.42,1.3,25.94,0.18,30.92
27.44,0,27.32,0.12,28.86
27.53,0,27.28,0.25,38.54
28.71,0.06,28.38,0.27,25.59
28.86,0,28.79,0.07,22.98
29,0,28.88,0.12,35.92
29.88,0,29.87,0.01,26.98
30.2,0,29.99,0.21,27.12
30.87,0,30.71,0.16,31.89
30.92,1.18,29.48,0.26,32.23
31.78,0.23,31.43,0.12,33.03
31.89,0,31.79,0.1,31.78
32.23,0.03,31.95,0.25,16.75
33.03,0.23,32.65,0.15,25.7
35.92,0,35.82,0.1,18.01
36.04,0,35.95,0.09,17.91
38.54,0.04,38.27,0.23,24.07
38.63,0,38.34,0.29,27.53
39.84,0.06,39.44,0.34,59.03
43.2,0.04,42.95,0.21,36.04
50.28,0,49.81,0.47,38.63
59.03,0.14,58.39,0.5,211.87
77.98,0,77.4,0.58,98.77
81.39,0,80.73,0.66,77.98
98.77,0,97.95,0.82,50.28
211.87,0,210.35,1.52,81.39
